Authors,Author Ids,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,Link,Document Type,Source,EID
"Börger T., Hattam C.","55576195400;34972978800;","Motivations matter: Behavioural determinants of preferences for remote and unfamiliar environmental goods",2017,"Ecological Economics","131",,,"64","74",,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989891269&doi=10.1016%2fj.ecolecon.2016.08.021&partnerID=40&md5=d40fa356d0ed39aefd23e0b8f6372273",Article,Scopus,2-s2.0-84989891269
"Johnston R.J., Schultz E.T., Segerson K., Besedin E.Y., Ramachandran M.","7403679025;7102453922;6701914037;8703974100;57196964780;","Biophysical causality and environmental preference elicitation: Evaluating the validity of welfare analysis over intermediate outcomes",2017,"American Journal of Agricultural Economics","99","1",,"163","185",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014848964&doi=10.1093%2fajae%2faaw073&partnerID=40&md5=9f13ad3b5c54d97eb066582d505144fe",Article,Scopus,2-s2.0-85014848964
"Thiene M., Swait J., Scarpa R.","23006382300;7003362892;7101679887;","Choice set formation for outdoor destinations: The role of motivations and preference discrimination in site selection for the management of public expenditures on protected areas",2017,"Journal of Environmental Economics and Management","81",,,"152","173",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994193560&doi=10.1016%2fj.jeem.2016.08.002&partnerID=40&md5=f69d604a9c7051768a22e3650040b2b5",Article,Scopus,2-s2.0-84994193560
"Koetse M.J., Brouwer R.","13805635600;7102772121;","Reference Dependence Effects on WTA and WTP Value Functions and Their Disparity",2016,"Environmental and Resource Economics","65","4",,"723","745",,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929207761&doi=10.1007%2fs10640-015-9920-2&partnerID=40&md5=3bdbeccace65a7378e3bc00339b391aa",Article,Scopus,2-s2.0-84929207761
"Lusk J.L., Crespi J.M., McFadden B.R., Cherry J.B.C., Martin L., Bruce A.","7004997535;6701655833;55966266100;55856654300;35765610600;16548947700;","Neural antecedents of a random utility model",2016,"Journal of Economic Behavior and Organization","132",,,"93","103",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008698409&doi=10.1016%2fj.jebo.2016.09.018&partnerID=40&md5=7800f3da1c4402021dd5d773c476897b",Article,Scopus,2-s2.0-85008698409
"Börger T.","55576195400;","Are Fast Responses More Random? Testing the Effect of Response Time on Scale in an Online Choice Experiment",2016,"Environmental and Resource Economics","65","2",,"389","413",,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925068106&doi=10.1007%2fs10640-015-9905-1&partnerID=40&md5=494dbcf67568bd2630606cc7b09210be",Article,Scopus,2-s2.0-84925068106
"Lee D.E., Du Preez M.","36600811700;36008247500;","Determining visitor preferences for rhinoceros conservation management at private, ecotourism game reserves in the Eastern Cape Province, South Africa: A choice modeling experiment",2016,"Ecological Economics","130",,,"106","116",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978883271&doi=10.1016%2fj.ecolecon.2016.06.022&partnerID=40&md5=5dd4d251876d18a2d918ebff9df71787",Article,Scopus,2-s2.0-84978883271
"Santos R., Clemente P., Brouwer R., Antunes P., Pinto R.","55953393500;53982532200;7102772121;7004628305;15078783400;","Landowner preferences for agri-environmental agreements to conserve the montado ecosystem in Portugal",2016,"Ecological Economics","118",,,"159","167",,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938349301&doi=10.1016%2fj.ecolecon.2015.07.028&partnerID=40&md5=a15c4d06d7d812793b814a01149d59df",Article,Scopus,2-s2.0-84938349301
"Franzén F., Dinnétz P., Hammer M.","49963630100;6508141044;7103177398;","Factors affecting farmers' willingness to participate in eutrophication mitigation — A case study of preferences for wetland creation in Sweden",2016,"Ecological Economics","130",,,"8","15",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978168188&doi=10.1016%2fj.ecolecon.2016.05.019&partnerID=40&md5=3390902d7ea0586c2e369b26253c99c9",Article,Scopus,2-s2.0-84978168188
"Pallante G., Drucker A.G., Sthapit S.","56898989600;14037196500;54780640700;","Assessing the potential for niche market development to contribute to farmers' livelihoods and agrobiodiversity conservation: Insights from the finger millet case study in Nepal",2016,"Ecological Economics","130",,,"92","105",,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978267559&doi=10.1016%2fj.ecolecon.2016.06.017&partnerID=40&md5=bd76aa098610091d9661fe32eec839f1",Article,Scopus,2-s2.0-84978267559
"Bello M., Abdulai A.","56921554200;57192080331;","Impact of ex-ante hypothetical bias mitigation methods on attribute non-attendance in choice experiments",2016,"American Journal of Agricultural Economics","98","5",,"1486","1506",,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995791224&doi=10.1093%2fajae%2faav098&partnerID=40&md5=cc223a5df81806e4e47670142acdbdc4",Article,Scopus,2-s2.0-84995791224
"Sandorf E.D., Aanesen M., Navrud S.","57189696602;13606427900;6603500707;","Valuing unfamiliar and complex environmental goods: A comparison of valuation workshops and internet panel surveys with videos",2016,"Ecological Economics","129",,,"50","61",,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974736047&doi=10.1016%2fj.ecolecon.2016.06.008&partnerID=40&md5=f5add8ca5b6c0b523f9fcbb9b27677dc",Article,Scopus,2-s2.0-84974736047
"Pinger P., Ruhmer-Krell I., Schumacher H.","36521581500;57189340840;55452571200;","The compromise effect in action: Lessons from a restaurant's menu",2016,"Journal of Economic Behavior and Organization","128",,,"14","34",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969514495&doi=10.1016%2fj.jebo.2016.04.017&partnerID=40&md5=90ecc7d2640daf84280ccf1a2cc6f62c",Article,Scopus,2-s2.0-84969514495
"Grafeld S., Oleson K., Barnes M., Peng M., Chan C., Weijerman M.","56897165400;23467149100;56575902600;57189355423;16686556400;8848950200;","Divers' willingness to pay for improved coral reef conditions in Guam: An untapped source of funding for management and conservation?",2016,"Ecological Economics","128",,,"202","213",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969590510&doi=10.1016%2fj.ecolecon.2016.05.005&partnerID=40&md5=1c3b0bb24b5af39bd80ed8e2d9742eca",Article,Scopus,2-s2.0-84969590510
"Rodríguez-Ortega T., Bernués A., Alfnes F.","56278319800;8730717500;7801410199;","Psychographic profile affects willingness to pay for ecosystem services provided by Mediterranean high nature value farmland",2016,"Ecological Economics","128",,,"232","245",,7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969754427&doi=10.1016%2fj.ecolecon.2016.05.002&partnerID=40&md5=d187a9000ab6f1b7e3030ae55893a79b",Article,Scopus,2-s2.0-84969754427
"Boyle K.J., Morrison M., MacDonald D.H., Duncan R., Rose J.","7004966658;7201675501;55666051500;13006072400;7404390899;","Investigating Internet and Mail Implementation of Stated-Preference Surveys While Controlling for Differences in Sample Frames",2016,"Environmental and Resource Economics","64","3",,"401","419",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924166091&doi=10.1007%2fs10640-015-9876-2&partnerID=40&md5=d5406c295e5068c1c3562d69a9ed9e76",Article,Scopus,2-s2.0-84924166091
"Contu D., Strazzera E., Mourato S.","55241110400;6603364133;6602496157;","Modeling individual preferences for energy sources: The case of IV generation nuclear energy in Italy",2016,"Ecological Economics","127",,,"37","58",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963951597&doi=10.1016%2fj.ecolecon.2016.03.008&partnerID=40&md5=9540050a52e607d506e7a85b8c0900d5",Article,Scopus,2-s2.0-84963951597
"Mattmann M., Logar I., Brouwer R.","57188822315;26321783200;7102772121;","Wind power externalities: A meta-analysis",2016,"Ecological Economics","127",,,"23","36",,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963604725&doi=10.1016%2fj.ecolecon.2016.04.005&partnerID=40&md5=4a1d04f1d8c21ae39b188e73e57526f3",Article,Scopus,2-s2.0-84963604725
"Kragt M.E., Gibson F.L., Maseyk F., Wilson K.A.","26422995100;55711325400;56703675600;8046846900;","Public willingness to pay for carbon farming and its co-benefits",2016,"Ecological Economics","126",,,"125","131",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962786757&doi=10.1016%2fj.ecolecon.2016.02.018&partnerID=40&md5=822566a6a1ed317e60ff31cc152badc3",Article,Scopus,2-s2.0-84962786757
"Ozbafli A., Jenkins G.P.","56928346300;7201484809;","Estimating the willingness to pay for reliable electricity supply: A choice experiment study",2016,"Energy Economics","56",,,"443","452",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964413710&doi=10.1016%2fj.eneco.2016.03.025&partnerID=40&md5=3eae3e9ed85e8d5f879f829df8392759",Article,Scopus,2-s2.0-84964413710
"Interis M.G., Petrolia D.R.","37088550800;13103470800;","Location, location, habitat: How the value of ecosystem services varies across location and by habitat",2016,"Land Economics","92","2",,"292","307",,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962367218&doi=10.3368%2fle.92.2.292&partnerID=40&md5=34fc11c90f2ea0fc4dc6243a280f56c2",Article,Scopus,2-s2.0-84962367218
"Völker M., Lienhoop N.","57076135300;14622898000;","Exploring group dynamics in deliberative choice experiments",2016,"Ecological Economics","123",,,"57","67",,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955462133&doi=10.1016%2fj.ecolecon.2016.01.006&partnerID=40&md5=1df11c12cc46ed5426910b87f0fff76f",Article,Scopus,2-s2.0-84955462133
"Czajkowski M., Hanley N., LaRiviere J.","26655387000;7005750378;55628468700;","Controlling for the Effects of Information in a Public Goods Discrete Choice Model",2016,"Environmental and Resource Economics","63","3",,"523","544",,7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959189854&doi=10.1007%2fs10640-014-9847-z&partnerID=40&md5=ff1951265d7e12fae80fd5cc767e27af",Article,Scopus,2-s2.0-84959189854
"Karlõševa A., Nõmmann S., Nõmmann T., Urbel-Piirsalu E., Budziński W., Czajkowski M., Hanley N.","57112603900;6602350270;56580242200;15754472000;56580207600;26655387000;7005750378;","Marine trade-offs: Comparing the benefits of off-shore wind farms and marine protected areas",2016,"Energy Economics","55",,,"127","134",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958957549&doi=10.1016%2fj.eneco.2015.12.022&partnerID=40&md5=f682d915ccc4f57021afd679d6bdf11a",Article,Scopus,2-s2.0-84958957549
"Zandersen M., Jørgensen S.L., Nainggolan D., Gyldenkærne S., Winding A., Greve M.H., Termansen M.","16835397700;55334629500;35277655100;55937926300;6602197801;7004915156;16835466300;","Potential and economic efficiency of using reduced tillage to mitigate climate effects in Danish agriculture",2016,"Ecological Economics","123",,,"14","22",,7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955277137&doi=10.1016%2fj.ecolecon.2015.12.002&partnerID=40&md5=938a2c8104dfff24d9efe4084c91837f",Article,Scopus,2-s2.0-84955277137
"Rodrigues L.C., van den Bergh J.C.J.M., Loureiro M.L., Nunes P.A.L.D., Rossi S.","55363487500;7006196632;7005055008;7006823069;7202573914;","The Cost of Mediterranean Sea Warming and Acidification: A Choice Experiment Among Scuba Divers at Medes Islands, Spain",2016,"Environmental and Resource Economics","63","2",,"289","311",,11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957839933&doi=10.1007%2fs10640-015-9935-8&partnerID=40&md5=dcfd76329020ca8133842d891e1f39e8",Article,Scopus,2-s2.0-84957839933
"Broberg T., Persson L.","24467638600;36507533800;","Is our everyday comfort for sale? Preferences for demand management on the electricity market",2016,"Energy Economics","54",,,"24","32",,7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951081740&doi=10.1016%2fj.eneco.2015.11.005&partnerID=40&md5=0e691397b3503f1c3256499dc163c641",Article,Scopus,2-s2.0-84951081740
"Lienhoop N., Völker M.","14622898000;57076135300;","Preference refinement in deliberative choice experiments for ecosystem service valuation",2016,"Land Economics","92","3",,"555","577",,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984616772&doi=10.3368%2fle.92.3.555&partnerID=40&md5=a840e3f2373267adcc4b09ea5908cba8",Article,Scopus,2-s2.0-84984616772
"Balcombe K., Fraser I., Lowe B., Souza Monteiro D.","6701753683;55753411600;16239130600;56607189800;","Information Customization and Food Choice",2016,"American Journal of Agricultural Economics","98","1",,"54","73",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954357021&doi=10.1093%2fajae%2faav033&partnerID=40&md5=17c3e10b75062294065a09a5f87359cc",Article,Scopus,2-s2.0-84954357021
"Andersson H., Hole A.R., Svensson M.","24447961900;15845400300;7102216136;","Valuation of small and multiple health risks: A critical analysis of SP data applied to food and water safety",2016,"Journal of Environmental Economics and Management","75",,,"41","53",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951274194&doi=10.1016%2fj.jeem.2015.11.001&partnerID=40&md5=81d4c00309772c267b53b7fe5fe31195",Article,Scopus,2-s2.0-84951274194
"León C.J., Araña J.E., de León J., González M.M.","7101886256;7005207170;55432779900;8092612200;","The Economic Benefits of Reducing the Environmental Effects of Landfills: Heterogeneous Distance Decay Effects",2016,"Environmental and Resource Economics","63","1",,"193","218",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958658444&doi=10.1007%2fs10640-014-9874-9&partnerID=40&md5=b9d4c317533345a210d15ba120018c9f",Article,Scopus,2-s2.0-84958658444
"Johnston R.J., Holland B.M., Yao L.","7403679025;57191981382;56604575600;","Individualized geocoding in stated preference questionnaires: Implications for survey design and welfare estimation",2016,"Land Economics","92","4",,"737","759",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995578587&doi=10.3368%2fle.92.4.737&partnerID=40&md5=357c04bdd25ed28275bda41ff6328c06",Article,Scopus,2-s2.0-84995578587
"Bateman H., Dobrescu L.I., Newell B.R., Ortmann A., Thorp S.","7004123400;23096875800;7003401856;6603938523;8214890500;","As easy as pie: How retirement savers use prescribed investment disclosures",2016,"Journal of Economic Behavior and Organization","121",,,"60","76",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949636594&doi=10.1016%2fj.jebo.2015.10.020&partnerID=40&md5=6a2125bb4c50d5f545bc03dedc6d8ef0",Article,Scopus,2-s2.0-84949636594
"de Rezende C.E., Kahn J.R., Passareli L., Vásquez W.F.","7004919328;7402544541;56957177200;26644510100;","An economic valuation of mangrove restoration in Brazil",2015,"Ecological Economics","120",,,"296","302",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946825882&doi=10.1016%2fj.ecolecon.2015.10.019&partnerID=40&md5=9ddd6711a95ce2f0f4e22c446ce5bb51",Article,Scopus,2-s2.0-84946825882
"Carson R.T., DeShazo J.R., Schwabe K.A., Vincent J.R., Ahmad I.","23003412900;6602870758;7006631474;7403122238;56272740000;","Incorporating local visitor valuation information into the design of new recreation sites in tropical forests",2015,"Ecological Economics","120",,,"338","349",,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946897772&doi=10.1016%2fj.ecolecon.2015.10.009&partnerID=40&md5=156bfd0e57f45d17dd2dbd9552f902e9",Article,Scopus,2-s2.0-84946897772
"Campbell D., Boeri M., Doherty E., George Hutchinson W.","56857858800;49662814500;35321808900;56880338500;","Learning, fatigue and preference formation in discrete choice experiments",2015,"Journal of Economic Behavior and Organization","119",,,"345","363",,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942745243&doi=10.1016%2fj.jebo.2015.08.018&partnerID=40&md5=491bae46f6f8b12a122fbed5626ff015",Article,Scopus,2-s2.0-84942745243
"Rai R.K., Shyamsundar P., Nepal M., Bhatta L.D.","55008326500;35610899400;12783483600;56462722600;","Differences in demand for watershed services: Understanding preferences through a choice experiment in the Koshi Basin of Nepal",2015,"Ecological Economics","119",,,"274","283",,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942602870&doi=10.1016%2fj.ecolecon.2015.09.013&partnerID=40&md5=a5708a6917c9690033a1e09bdd3e90a2",Article,Scopus,2-s2.0-84942602870
"Giergiczny M., Czajkowski M., Zylicz T., Angelstam P.","23466937000;26655387000;6603428210;7003752140;","Choice experiment assessment of public preferences for forest structural attributes",2015,"Ecological Economics","119",,,"8","23",,16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939606147&doi=10.1016%2fj.ecolecon.2015.07.032&partnerID=40&md5=1f6d806e71f4bd3135ee10c16f3a3883",Article,Scopus,2-s2.0-84939606147
"Thiene M., Scarpa R., Louviere J.J.","23006382300;7101679887;7004145149;","Addressing Preference Heterogeneity, Multiple Scales and Attribute Attendance with a Correlated Finite Mixing Model of Tap Water Choice",2015,"Environmental and Resource Economics","62","3",,"637","656",,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946485675&doi=10.1007%2fs10640-014-9838-0&partnerID=40&md5=15cde67246d496d9684a005ce8e836c6",Article,Scopus,2-s2.0-84946485675
"León C.J., de León J., Araña J.E., González M.M.","7101886256;55432779900;7005207170;8092612200;","Tourists' preferences for congestion, residents' welfare and the ecosystems in a national park",2015,"Ecological Economics","118",,,"21","29",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937429590&doi=10.1016%2fj.ecolecon.2015.07.003&partnerID=40&md5=733f749489ecf92681253659ce3195b5",Article,Scopus,2-s2.0-84937429590
"Viteri Mejía C., Brandt S.","56688579000;8264784700;","Managing tourism in the Galapagos Islands through price incentives: A choice experiment approach",2015,"Ecological Economics","117",,,"1","11",,10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931269381&doi=10.1016%2fj.ecolecon.2015.05.014&partnerID=40&md5=86f0d67a4e8aeb62976be762cd71f9d0",Article,Scopus,2-s2.0-84931269381
"Papoutsi G.S., Nayga R.M., Lazaridis P., Drichoutis A.C.","54890723900;7003839193;6602092228;8533145300;","Fat tax, subsidy or both? The role of information and children's pester power in food choice",2015,"Journal of Economic Behavior and Organization","117",,,"196","208",,3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936939698&doi=10.1016%2fj.jebo.2015.06.011&partnerID=40&md5=5ef5d079c84ca4b2ea8c84566569fe80",Article,Scopus,2-s2.0-84936939698
"Sundt S., Rehdanz K.","56719646000;15019781800;","Consumers' willingness to pay for green electricity: A meta-analysis of the literature",2015,"Energy Economics","51",,,"1","8",,34,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936944012&doi=10.1016%2fj.eneco.2015.06.005&partnerID=40&md5=29599617228871c6c4e62c7c226f2384",Article,Scopus,2-s2.0-84936944012
"Balderas Torres A., MacMillan D.C., Skutsch M., Lovett J.C.","55325587800;7102853588;6505918222;7005568592;","Reprint of 'Yes-in-my-backyard': Spatial differences in the valuation of forest services and local co-benefits for carbon markets in México",2015,"Ecological Economics","117",,,"283","294",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938984414&doi=10.1016%2fj.ecolecon.2015.03.021&partnerID=40&md5=8df23ee6e58ad85510fe2b4fc5f39e24",Article,Scopus,2-s2.0-84938984414
"Sorensen A.L.","56609787900;","Asymmetry, uncertainty, and limits in a binary choice experiment with positive spillovers",2015,"Journal of Economic Behavior and Organization","116",,,"43","55",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928693869&doi=10.1016%2fj.jebo.2015.03.021&partnerID=40&md5=225ad4a0a9e26266e94d9c73bc5118ee",Article,Scopus,2-s2.0-84928693869
"Blasch J., Ohndorf M.","35306558800;38862627600;","Altruism, moral norms and social approval: Joint determinants of individual offset behavior",2015,"Ecological Economics","116",,,"251","260",,5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929317882&doi=10.1016%2fj.ecolecon.2015.04.024&partnerID=40&md5=bbc9dc97ff9f56429c9d82516c52f547",Article,Scopus,2-s2.0-84929317882
"Akter S., Kompas T., Ward M.B.","24553665100;7801652879;7403169216;","Application of portfolio theory to asset-based biosecurity decision analysis",2015,"Ecological Economics","117",,,"73","85",,4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947246780&doi=10.1016%2fj.ecolecon.2015.06.020&partnerID=40&md5=dfb18b6e2d7f6a70b95d6b9106d4ca68",Article,Scopus,2-s2.0-84947246780
"Murakami K., Ida T., Tanaka M., Friedman L.","56288048500;22234266800;56126045200;36854869200;","Consumers' willingness to pay for renewable and nuclear energy: A comparative analysis between the US and Japan",2015,"Energy Economics","50",,,"178","189",,21,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930633602&doi=10.1016%2fj.eneco.2015.05.002&partnerID=40&md5=19cc1a007b04d36cc41b70b1994a60bf",Article,Scopus,2-s2.0-84930633602
"Axsen J., Bailey J., Castro M.A.","26422020300;57199422717;55342721800;","Preference and lifestyle heterogeneity among potential plug-in electric vehicle buyers",2015,"Energy Economics","50",,,"190","201",,39,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930940495&doi=10.1016%2fj.eneco.2015.05.003&partnerID=40&md5=a67bd267aef9a21ab03a83184ba7ef00",Article,Scopus,2-s2.0-84930940495
"Oleson K.L.L., Barnes M., Brander L.M., Oliver T.A., Van Beek I., Zafindrasilivonona B., Van Beukering P.","23467149100;56575902600;12766801200;56147454300;56576142100;55801180600;6602880955;","Cultural bequest values for ecosystem service flows among indigenous fishers: A discrete choice experiment validated with mixed methods",2015,"Ecological Economics","114",,,"104","116",,23,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925946615&doi=10.1016%2fj.ecolecon.2015.02.028&partnerID=40&md5=9912eade0f440278b9ca4530babae165",Article,Scopus,2-s2.0-84925946615
"Lewis D.J., Provencher B., Beardmore B.","55742501800;6602989164;26031906100;","Using an intervention framework to value salient ecosystem services in a stated preference experiment",2015,"Ecological Economics","114",,,"141","151",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961308361&doi=10.1016%2fj.ecolecon.2015.03.025&partnerID=40&md5=d975876850e40552d33e45db3dd28e57",Article,Scopus,2-s2.0-84961308361
"Aguilar F.X., Cai Z., Mohebalian P., Thompson W.","24068381600;36129558300;55340100000;16305550100;","Exploring the drivers' side of the ""blend wall"": U.S. consumer preferences for ethanol blend fuels",2015,"Energy Economics","49",,,"217","226",,7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924625768&doi=10.1016%2fj.eneco.2015.01.019&partnerID=40&md5=e5f8bf6f1ae541ea8fe775f26f0e7134",Article,Scopus,2-s2.0-84924625768
"Vedel S.E., Jacobsen J.B., Thorsen B.J.","15057304900;35773326500;6701749452;","Forest owners' willingness to accept contracts for ecosystem service provision is sensitive to additionality",2015,"Ecological Economics","113",,,"15","24",,23,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924237157&doi=10.1016%2fj.ecolecon.2015.02.014&partnerID=40&md5=20b61e945166067e0766db02ee14cc72",Article,Scopus,2-s2.0-84924237157
"Aanesen M., Armstrong C., Czajkowski M., Falk-Petersen J., Hanley N., Navrud S.","13606427900;7202654044;26655387000;15026203500;7005750378;6603500707;","Willingness to pay for unfamiliar public goods: Preserving cold-water coral in Norway",2015,"Ecological Economics","112",,,"53","67",,19,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922979080&doi=10.1016%2fj.ecolecon.2015.02.007&partnerID=40&md5=c0786384b3dc870914aa3b6e5b5b4813",Article,Scopus,2-s2.0-84922979080
"Rigby D., Burton M., Balcombe K., Bateman I., Mulatu A.","7005511140;7202920179;6701753683;7005934781;8942390200;","Contract cheating & the market in essays",2015,"Journal of Economic Behavior and Organization","111",,,"23","37",,8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920887820&doi=10.1016%2fj.jebo.2014.12.019&partnerID=40&md5=ac442a44094545b2d585ec74585e1f60",Article,Scopus,2-s2.0-84920887820
"Gill D.A., Schuhmann P.W., Oxenford H.A.","56900570600;6602799525;6602742668;","Recreational diver preferences for reef fish attributes: Economic implications of future change",2015,"Ecological Economics","111",,,"48","57",,9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921684319&doi=10.1016%2fj.ecolecon.2015.01.004&partnerID=40&md5=9a6ba9dba1614019686c5287c89ce709",Article,Scopus,2-s2.0-84921684319
"Ida T., Takemura K., Sato M.","22234266800;7103193428;55619169200;","Inner conflict between nuclear power generation and electricity rates: A Japanese case study",2015,"Energy Economics","48",,,"61","69",,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920895534&doi=10.1016%2fj.eneco.2014.11.019&partnerID=40&md5=689a7598647e2011a818560cd59ae29a",Article,Scopus,2-s2.0-84920895534
"Buckley N., Cuff K., Hurley J., Mestelman S., Thomas S., Cameron D.","7102676909;6602260681;7202996796;6603600974;56493686800;57028982800;","Support for public provision of a private good with top-up and opt-out: A controlled laboratory experiment",2015,"Journal of Economic Behavior and Organization","111",,,"177","196",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921772527&doi=10.1016%2fj.jebo.2014.12.016&partnerID=40&md5=8946a382af7bdfd98d8d5773e40b0439",Article,Scopus,2-s2.0-84921772527
"Gevrek Z.E., Uyduranoglu A.","36096624900;6505547545;","Public preferences for carbon tax attributes",2015,"Ecological Economics","118",,,"186","197",,11,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955487295&doi=10.1016%2fj.ecolecon.2015.07.020&partnerID=40&md5=60a80d751da132d9faf609045c485eb6",Article,Scopus,2-s2.0-84955487295
"Liu X., Sarr M., Swanson T.","56735632200;35726895000;7005407396;","Resistance to the regulation of common water resources in rural Tunisia",2015,"Land Economics","91","3",,"435","459",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937840045&doi=10.3368%2fle.91.3.435&partnerID=40&md5=4e97f0038ded03ee6f191317c18dd1d7",Article,Scopus,2-s2.0-84937840045
"Winden M., Cruze N., Haab T., Bakshi B.","56136385200;55314383400;6602751606;7004361932;","Monetized value of the environmental, health and resource externalities of soy biodiesel",2015,"Energy Economics","47",,,"18","24",,1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912050528&doi=10.1016%2fj.eneco.2014.10.019&partnerID=40&md5=e03f651d37d79d7a96513d714a344af0",Article,Scopus,2-s2.0-84912050528
"Siikamäki J., Ji Y., Xu J.","23393918900;56652899200;7408551539;","Post-reform forestland markets in China",2015,"Land Economics","91","2",,"211","234",,6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929671698&doi=10.3368%2fle.91.2.211&partnerID=40&md5=46654e23ed13d4189228a58c97aff4d9",Article,Scopus,2-s2.0-84929671698
"Yuan Y., Boyle K.J., You W.","56924076400;7004966658;34977977200;","Sample selection, individual heterogeneity, and regional heterogeneity in valuing farmland conservation easements",2015,"Land Economics","91","4",,"627","649",,2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945305630&doi=10.3368%2fle.91.4.627&partnerID=40&md5=ca706bae1017f1200b9494a13c2a47aa",Article,Scopus,2-s2.0-84945305630
"Lundhede T., Jacobsen J.B., Hanley N., Strange N., Thorsen B.J.","15848753300;35773326500;7005750378;6602735313;6701749452;","Incorporating outcome uncertainty and prior outcome beliefs in stated preferences",2015,"Land Economics","91","2",,"296","316",,10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929683386&doi=10.3368%2fle.91.2.296&partnerID=40&md5=961a466437ca8b9cffd8a9f14684033d",Article,Scopus,2-s2.0-84929683386
"Meas T., Hu W., Batte M.T., Woods T.A., Ernst S.","56841425200;9132863500;6602395541;36703689400;15750274800;","Substitutes or complements? Consumer preference for localand organic food attributes",2015,"American Journal of Agricultural Economics","97","4",,"1044","1071",,21,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941578466&doi=10.1093%2fajae%2faau108&partnerID=40&md5=f44a0bca34f7137415263c3ce05cff67",Article,Scopus,2-s2.0-84941578466
